output;units
GDP;USD
population;persons
agric_area;ha
area_crop_in;ha
area_crop_ex;ha
area_grass_in;ha
area_grass_ex;ha
arable_coverage;[0,1]
ymax;t/ha
yact;t/ha
area;ha
crpprc;USD/t
ndep;kgN/ha
bnf;kgN/ha
SN;kgN/ha
nfert;kgN/ha
nfert_ef;kgN/ha
nfert_year;year
nfert_crop;[0,1]
nman;kgN/ha
nman_max;kgN/ha
nman_ef;kgN/ha
nfert_ef;kgN/ha
perc_urea;[0,1]
FEV_MANURE;[0,1]
FEV_UREA;[0,1]
FESMan;[0,1]
Nav;kgN/ha
ypred;t/ha
ncont;%
nremoval;kgN/ha
nsurplus;kgN/ha
nlosses;kgN/ha
NUE;[0,1]
NUE_synth;[0,1]
fert_price;USD/kgN
other_inputs_price;USD/ha
labour_cost;USD/ha
nrfmax;kgN/ha
nrfopt;kgN/ha
eonr;kgN/ha
sonr;kgN/ha
nshare1;%
nshare2;%
margnbenef;USD/kgN/ha
meannbenefsyn;USD/kgN/ha
meannbenefsynm;USD/kgN/ha
absbenef;10^6USD
absmeannbenefsyn;10^6USD
absmeannbenefsynm;10^6USD
absfertcost;10^6USD
margcostsurp;USD/kgN/ha
abscostsurpabsextcostnloss;10^6USD
absyield;t
nh3em_synth;kgN/ha
nh3em_total;kgN/ha
udc_pm25_nh3_cost;USD/kgNH3N
abs_yll_pm25_nh3;YLL
msa_loss_perc;%_contrib
abs_pm25_nh3_cost;10^6USD
abs_marine_cost;10^6USD
abs_msa_cost;10^6USD
ndep_nr_ratio;[0,1]
RET_GRW;[0,1]
RET_SRO;[0,1]
UC_marine_rivmouth;USD/kgN
ypred_straw;t/ha
absyield_straw;t
nremoval_grain;kgN/ha
nremoval_straw;kgN/ha
ncont_straw;%
WTP_MSA;USD/pp/%MSAloss
BC;ratio
cropintens;harv/year
