"country_origname";"country_code";"crop";"variable";"units";"year";"campaign";"data";"source";"comments"
"austria";"AT";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"belgium";"BE";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"bulgaria";"BG";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"croatia";"HR";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"cyprus";"CY";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"czech republic";"CZ";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"denmark";"DK";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"estonia";"EE";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"finland";"FI";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"france";"FR";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"germany";"DE";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"greece";"GR";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"hungary";"HU";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"ireland";"IE";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"italy";"IT";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"latvia";"LV";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"lithuania";"LT";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"luxembourg";"LU";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"malta";"MT";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"netherlands";"NL";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"poland";"PL";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"portugal";"PT";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"romania";"RO";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"slovak republic";"SK";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"slovenia";"SI";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"spain";"ES";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
"sweden";"SE";NA;"nman_max";"kgN/ha";NA;NA;170;"manual";NA
